"payout_id","effective_at","currency","gross","fee","net","reporting_category","balance_transaction_id","description","payout_expected_arrival_date","payout_status"
"po_1PPDniKnAv1jsaW0OOVEfNhI","2024-06-09 08:00:00","hkd","54.35","0.00","54.35","payout","txn_1PPDniKnAv1jsaW0qQGoEFeM","STRIPE PAYOUT","2024-06-11 00:00:00","failed"
"po_1PPDniKnAv1jsaW0OOVEfNhI","2024-06-11 17:26:47","hkd","-54.35","0.00","-54.35","payout_reversal","txn_1PQQyZKnAv1jsaW0pwLXAahi","REFUND FOR PAYOUT (STRIPE PAYOUT)",,
