交易时间,公众账号ID,商户号,特约商户号,设备号,微信订单号,商户订单号,用户标识,交易类型,交易状态,付款银行,货币种类,应结订单金额,代金券金额,微信退款单号,商户退款单号,退款金额,充值券退款金额,退款类型,退款状态,商品名称,商户数据包,手续费,费率,订单金额,申请退款金额,费率备注
`2025-12-04 15:55:43,`wx35f23d5c9d0adb4b,`1718108528,`0,`,`4200002542202512042360825276,`C37E585EB03B49A4AC60664197691E3D,`o1XE9viXlGkq_87VelQCFffNMKWk,`NATIVE,`SUCCESS,`OTHERS,`CNY,`480.00,`0.00,`0,`0,`0.00,`0.00,`,`,`OriginCG - 1 Year - VIP Member,`{\"type\": \"subscription\"\  \"code\": \"SY1\"},`4.32000,`0.90%,`480.00,`0.00,`
`2025-12-06 00:45:59,`wx35f23d5c9d0adb4b,`1718108528,`0,`,`4200002922202512060092264990,`6D75785A8C6346C7A8A3D9A5B93A6237,`o1XE9vn-vNPCCvV0Oy9NbLaVawyc,`NATIVE,`SUCCESS,`ABC_DEBIT,`CNY,`480.00,`0.00,`0,`0,`0.00,`0.00,`,`,`OriginCG - 一年 - VIP 会员,`{\"type\": \"subscription\"\  \"code\": \"SY1\"},`4.32000,`0.90%,`480.00,`0.00,`
`2025-12-09 22:45:03,`wx35f23d5c9d0adb4b,`1718108528,`0,`,`4200002932202512092063259275,`212F464F1B864D84A3AFB819AE695700,`o1XE9vt4tFgEbcXm6SGmzH_cKfo0,`NATIVE,`SUCCESS,`OTHERS,`CNY,`480.00,`0.00,`0,`0,`0.00,`0.00,`,`,`OriginCG - 一年 - VIP 会员,`{\"type\": \"subscription\"\  \"code\": \"SY1\"},`4.32000,`0.90%,`480.00,`0.00,`
`2025-12-17 22:08:44,`wx35f23d5c9d0adb4b,`1718108528,`0,`,`4200002944202512172784283185,`6CD28CA5DF4541929373E7CBFC8CF87F,`o1XE9vncRpuJXPwKrGl7qL_iZbbM,`NATIVE,`SUCCESS,`ABC_DEBIT,`CNY,`48.00,`0.00,`0,`0,`0.00,`0.00,`,`,`OriginCG - 一年 - 高级会员,`{\"type\": \"subscription\"\  \"code\": \"Y1\"},`0.43000,`0.90%,`48.00,`0.00,`
总交易单数,应结订单总金额,退款总金额,充值券退款总金额,手续费总金额,订单总金额,申请退款总金额
`4.0,`1488.0,`0.0,`0.0,`13.39,`1488.0,`0.0
