"id","Type","Source","Amount","Fee","Destination Platform Fee","Destination Platform Fee Currency","Net","Currency","Created (UTC)","Available On (UTC)","Description","Customer Facing Amount","Customer Facing Currency","Transfer","Transfer Date (UTC)","Transfer Group","userID (metadata)","site (metadata)","plan_days (metadata)","stripe_user (metadata)","stripe_plan (metadata)"
"txn_1POt9gHOMTu9eLVoelPDtHU8","payout","po_1POt9gHOMTu9eLVoboq9TutR","-72.82","0.00",,,"-72.82","hkd","2024-06-07 03:07","2024-06-07 16:00","STRIPE PAYOUT",,,"po_1POt9gHOMTu9eLVoboq9TutR","2024-06-11 00:00",,,,,,
"txn_1POEx0HOMTu9eLVoQgYrJZvh","payout_failure","po_1PNoXBHOMTu9eLVoyldBCXaW","72.82","0.00",,,"72.82","hkd","2024-06-05 08:12","2024-06-05 08:12","REFUND FOR PAYOUT (STRIPE PAYOUT)",,,"po_1POt9gHOMTu9eLVoboq9TutR","2024-06-11 00:00",,,,,,
"txn_1PNoXCHOMTu9eLVoMB0TN1MM","payout","po_1PNoXBHOMTu9eLVoyldBCXaW","-72.82","0.00",,,"-72.82","hkd","2024-06-04 03:59","2024-06-04 16:00","STRIPE PAYOUT",,,"po_1PNoXBHOMTu9eLVoyldBCXaW","2024-06-05 00:00",,,,,,
"txn_3PLgMOHOMTu9eLVo1bNjjNlb","payment","py_3PLgMOHOMTu9eLVo11RS7G0r","95.06","4.09",,,"90.97","hkd","2024-05-29 06:52","2024-06-04 16:00",,"90.00","cny","po_1PNoXBHOMTu9eLVoyldBCXaW","2024-06-05 00:00",,,,,"44","30"
"txn_3NXiSYHOMTu9eLVo0jAhsQx9","charge","ch_3NXiSYHOMTu9eLVo0ANton7l","4.26","2.49",,"hkd","1.77","hkd","2023-07-25 10:27","2023-07-31 16:00",,"4.00","cny","po_1PNoXBHOMTu9eLVoyldBCXaW","2024-06-05 00:00",,,,,"10","180"
"txn_3NXfuyHOMTu9eLVo1UIdzP9H","refund","ch_3NXfuyHOMTu9eLVo1VV8nx8P","-4.26","0.00",,,"-4.26","hkd","2023-07-25 07:46","2023-07-31 16:00","REFUND FOR CHARGE","-4.00","cny","po_1PNoXBHOMTu9eLVoyldBCXaW","2024-06-05 00:00",,,,,,
"txn_3NXfuyHOMTu9eLVo1yQwM0f9","charge","ch_3NXfuyHOMTu9eLVo1VV8nx8P","4.26","2.49",,"hkd","1.77","hkd","2023-07-25 07:44","2023-07-31 16:00",,"4.00","cny","po_1PNoXBHOMTu9eLVoyldBCXaW","2024-06-05 00:00",,,,,"10","180"
"txn_3NXL41HOMTu9eLVo0ZQpq08K","refund","ch_3NXL41HOMTu9eLVo0cHhToFr","-4.26","0.00",,,"-4.26","hkd","2023-07-24 09:41","2023-07-30 16:00","REFUND FOR CHARGE","-4.00","cny","po_1PNoXBHOMTu9eLVoyldBCXaW","2024-06-05 00:00",,,,,,
"txn_3NXL41HOMTu9eLVo0u7xDr5w","charge","ch_3NXL41HOMTu9eLVo0cHhToFr","4.26","2.49",,"hkd","1.77","hkd","2023-07-24 09:28","2023-07-30 16:00",,"4.00","cny","po_1PNoXBHOMTu9eLVoyldBCXaW","2024-06-05 00:00",,,,,"10","365"
"txn_3NXIHyHOMTu9eLVo00DXFrzL","refund","ch_3NXIHyHOMTu9eLVo0VT5c2i0","-4.26","0.00",,,"-4.26","hkd","2023-07-24 06:35","2023-07-30 16:00","REFUND FOR CHARGE","-4.00","cny","po_1PNoXBHOMTu9eLVoyldBCXaW","2024-06-05 00:00",,,,,,
