"balance_transaction_id","created","available_on","currency","gross","fee","net","reporting_category","description"
"txn_3QznNFHOMTu9eLVo0ddpd5MK","2025-03-07 06:58:41","2025-03-14 00:00:00","hkd","94.57","6.04","88.53","charge",
"txn_3R3GwzHOMTu9eLVo17ewSJg1","2025-03-16 21:10:09","2025-03-23 00:00:00","hkd","94.76","4.08","90.68","charge",
"txn_3R4hH0HOMTu9eLVo0cJwkib6","2025-03-20 19:29:07","2025-03-27 00:00:00","hkd","94.64","4.08","90.56","charge",
"txn_3R5PlgHOMTu9eLVo1vp4u4BM","2025-03-22 18:59:29","2025-03-29 00:00:00","hkd","94.57","4.08","90.49","charge",
